Date,Open,High,Low,Close,Adj Close,Volume
2013-05-16,225.000000,230.000000,225.000000,225.000000,225.000000,3083500
2013-05-17,225.000000,245.000000,225.000000,235.000000,235.000000,111489000
2013-05-20,240.000000,245.000000,235.000000,235.000000,235.000000,40858000
2013-05-21,235.000000,240.000000,235.000000,235.000000,235.000000,7104500
2013-05-22,240.000000,240.000000,235.000000,235.000000,235.000000,10502500
2013-05-23,240.000000,255.000000,235.000000,255.000000,255.000000,3
2013-05-24,255.000000,255.000000,250.000000,255.000000,255.000000,3377500
2013-05-27,255.000000,255.000000,250.000000,255.000000,255.000000,16711500
2013-05-28,255.000000,275.000000,255.000000,270.000000,270.000000,3
2013-05-29,270.000000,280.000000,270.000000,270.000000,270.000000,28073500
2013-05-30,270.000000,275.000000,265.000000,265.000000,265.000000,3199000
2013-05-31,265.000000,270.000000,265.000000,270.000000,270.000000,6026500
2013-06-03,270.000000,270.000000,265.000000,270.000000,270.000000,17472000
2013-06-04,270.000000,300.000000,270.000000,290.000000,290.000000,3
2013-06-05,290.000000,295.000000,290.000000,290.000000,290.000000,6074000
2013-06-07,290.000000,290.000000,285.000000,290.000000,290.000000,6994500
2013-06-10,295.000000,295.000000,285.000000,290.000000,290.000000,7498000
2013-06-11,285.000000,290.000000,270.000000,285.000000,285.000000,16969500
2013-06-12,285.000000,295.000000,280.000000,290.000000,290.000000,10016500
2013-06-13,290.000000,290.000000,280.000000,285.000000,285.000000,1575000
2013-06-14,285.000000,310.000000,285.000000,305.000000,305.000000,3
2013-06-17,305.000000,315.000000,305.000000,305.000000,305.000000,9746000
2013-06-18,310.000000,315.000000,305.000000,305.000000,305.000000,15269500
2013-06-19,310.000000,310.000000,305.000000,305.000000,305.000000,5784000
2013-06-20,305.000000,305.000000,295.000000,305.000000,305.000000,12613000
2013-06-21,300.000000,310.000000,295.000000,305.000000,305.000000,4663000
2013-06-24,305.000000,305.000000,295.000000,295.000000,295.000000,4346000
2013-06-25,295.000000,295.000000,260.000000,270.000000,270.000000,3
2013-06-26,270.000000,275.000000,265.000000,270.000000,270.000000,3594500
2013-06-27,270.000000,275.000000,265.000000,265.000000,265.000000,1918500
2013-06-28,265.000000,270.000000,265.000000,270.000000,270.000000,2656500
2013-07-01,270.000000,270.000000,270.000000,270.000000,270.000000,8058000
2013-07-02,270.000000,280.000000,265.000000,275.000000,275.000000,14973000
2013-07-03,275.000000,275.000000,270.000000,270.000000,270.000000,12856500
2013-07-04,275.000000,280.000000,275.000000,275.000000,275.000000,12886500
2013-07-05,280.000000,280.000000,275.000000,275.000000,275.000000,10502000
2013-07-08,275.000000,275.000000,270.000000,275.000000,275.000000,11478500
2013-07-09,275.000000,280.000000,270.000000,275.000000,275.000000,10797000
2013-07-10,275.000000,285.000000,275.000000,280.000000,280.000000,13718500
2013-07-11,285.000000,295.000000,280.000000,280.000000,280.000000,18556000
2013-07-12,280.000000,290.000000,280.000000,280.000000,280.000000,11255000
2013-07-15,280.000000,285.000000,280.000000,285.000000,285.000000,10589000
2013-07-16,285.000000,290.000000,285.000000,285.000000,285.000000,10268500
2013-07-17,285.000000,285.000000,280.000000,285.000000,285.000000,7455000
2013-07-18,280.000000,285.000000,280.000000,285.000000,285.000000,5427500
2013-07-19,285.000000,285.000000,280.000000,280.000000,280.000000,5147000
2013-07-22,280.000000,280.000000,275.000000,280.000000,280.000000,5220500
2013-07-23,280.000000,285.000000,280.000000,280.000000,280.000000,8942500
2013-07-24,280.000000,285.000000,275.000000,280.000000,280.000000,6401000
2013-07-25,275.000000,285.000000,275.000000,280.000000,280.000000,7131000
2013-07-26,280.000000,285.000000,280.000000,280.000000,280.000000,7010000
2013-07-29,275.000000,285.000000,275.000000,275.000000,275.000000,6842000
2013-07-30,275.000000,300.000000,275.000000,300.000000,300.000000,36556000
2013-07-31,300.000000,310.000000,295.000000,305.000000,305.000000,24312000
2013-08-01,300.000000,310.000000,300.000000,300.000000,300.000000,15092000
